component_id,required_qty,available_qty,on_order_qty,gross_shortage,net_shortage,is_critical,substitute_id,substitute_factor,substitute_available,substitute_can_cover
CMP00005,366.9,156,25,210.9,185.9,NO,,0.0,0,NO
CMP00015,9.0,0,25,9.0,0.0,YES,RAW00016,1.1,25,YES
CMP00017,41.83,24,0,17.83,17.83,NO,,0.0,0,NO
CMP00024,500.66,0,0,500.66,500.66,NO,CMP00005,1.0,156,PARTIAL
CMP00028,369.8,0,0,369.8,369.8,NO,,0.0,0,NO
CMP00031,169.43,4,25,165.43,140.43,NO,,0.0,0,NO
CMP00033,153.28,63,0,90.28,90.28,NO,,0.0,0,NO
CMP00036,374.81,189,0,185.81,185.81,NO,,0.0,0,NO
CMP00037,319.67,0,50,319.67,269.67,YES,,0.0,0,NO
CMP00051,647.49,73,100,574.49,474.49,NO,,0.0,0,NO
CMP00052,416.14,28,0,388.14,388.14,NO,,0.0,0,NO
CMP00055,369.62,102,25,267.62,242.62,NO,,0.0,0,NO
CMP00057,242.66,49,100,193.66,93.66,NO,,0.0,0,NO
CMP00060,453.75,19,100,434.75,334.75,YES,MAT00063,1.2,182,PARTIAL
CMP00061,229.84,0,0,229.84,229.84,NO,RAW00067,1.5,133,PARTIAL
CMP00065,5.76,0,25,5.76,0.0,NO,,0.0,0,NO
MAT00008,88.26,86,50,2.26,0.0,NO,,0.0,0,NO
MAT00010,135.25,9,50,126.25,76.25,YES,CMP00012,0.9,7,PARTIAL
MAT00018,121.03,9,100,112.03,12.03,NO,,0.0,0,NO
MAT00025,1214.58,57,0,1157.58,1157.58,YES,,0.0,0,NO
MAT00042,622.32,4,0,618.32,618.32,NO,MAT00043,1.25,190,PARTIAL
MAT00044,642.68,116,0,526.68,526.68,NO,,0.0,0,NO
MAT00046,217.31,0,50,217.31,167.31,NO,,0.0,0,NO
MAT00049,180.6,0,0,180.6,180.6,NO,,0.0,0,NO
MAT00050,437.08,0,0,437.08,437.08,YES,,0.0,0,NO
MAT00053,801.91,21,0,780.91,780.91,NO,,0.0,0,NO
MAT00058,60.28,8,0,52.28,52.28,YES,,0.0,0,NO
MAT00059,114.37,5,0,109.37,109.37,NO,,0.0,0,NO
MAT00062,449.86,173,25,276.86,251.86,YES,,0.0,0,NO
PRT00019,533.55,403,0,130.55,130.55,NO,MAT00025,1.25,57,PARTIAL
PRT00020,813.6,14,100,799.6,699.6,NO,,0.0,0,NO
PRT00038,380.52,0,25,380.52,355.52,YES,,0.0,0,NO
PRT00066,336.0,8,0,328.0,328.0,YES,MAT00062,1.25,173,PARTIAL
RAW00001,90.61,4,0,86.61,86.61,YES,,0.0,0,NO
RAW00007,1325.59,45,0,1280.59,1280.59,YES,,0.0,0,NO
RAW00009,87.55,87,0,0.55,0.55,NO,,0.0,0,NO
RAW00016,43.19,25,0,18.19,18.19,NO,,0.0,0,NO
RAW00022,488.11,4,50,484.11,434.11,NO,,0.0,0,NO
RAW00040,12.25,5,25,7.25,0.0,NO,,0.0,0,NO
RAW00041,58.28,8,50,50.28,0.28,NO,MAT00042,1.5,4,PARTIAL
RAW00054,111.69,7,100,104.69,4.69,YES,,0.0,0,NO
RAW00056,954.57,0,0,954.57,954.57,NO,,0.0,0,NO
RAW00067,797.63,133,0,664.63,664.63,NO,,0.0,0,NO
