primary_component,substitute_component,conversion_factor,priority_rank,effective_from,effective_to,approval_status
RAW00001,RAW00007,0.8,3,2024-01-01,2024-12-31,PENDING
CMP00002,CMP00006,1.25,1,2024-01-01,2024-12-31,APPROVED
PRT00004,RAW00007,0.9,1,2024-01-01,2024-12-31,PENDING
CMP00006,CMP00005,1.0,1,2024-01-01,2024-12-31,APPROVED
RAW00007,CMP00005,0.8,3,2024-01-01,2024-12-31,APPROVED
MAT00008,RAW00001,1.2,3,2024-01-01,2024-12-31,PENDING
RAW00009,CMP00015,1.1,2,2024-01-01,2024-12-31,PENDING
MAT00010,CMP00012,0.9,1,2024-01-01,2024-12-31,APPROVED
CMP00015,RAW00016,1.1,2,2024-01-01,2024-12-31,APPROVED
CMP00017,RAW00016,0.9,3,2024-01-01,2024-12-31,PENDING
PRT00019,MAT00025,1.25,2,2024-01-01,2024-12-31,APPROVED
PRT00020,CMP00031,1.25,2,2024-01-01,2024-12-31,PENDING
MAT00021,CMP00031,0.9,1,2024-01-01,2024-12-31,APPROVED
RAW00022,PRT00019,1.0,2,2024-01-01,2024-12-31,PENDING
CMP00028,RAW00026,1.0,1,2024-01-01,2024-12-31,APPROVED
CMP00031,CMP00028,1.0,2,2024-01-01,2024-12-31,APPROVED
PRT00032,RAW00040,1.2,1,2024-01-01,2024-12-31,APPROVED
CMP00037,MAT00043,1.25,3,2024-01-01,2024-12-31,PENDING
PRT00038,PRT00032,1.1,3,2024-01-01,2024-12-31,APPROVED
RAW00041,MAT00042,1.5,2,2024-01-01,2024-12-31,APPROVED
MAT00042,MAT00043,1.25,3,2024-01-01,2024-12-31,APPROVED
MAT00043,PRT00038,0.8,3,2024-01-01,2024-12-31,APPROVED
MAT00044,CMP00048,1.25,1,2024-01-01,2024-12-31,PENDING
MAT00046,RAW00056,1.1,1,2024-01-01,2024-12-31,APPROVED
CMP00048,MAT00053,1.5,2,2024-01-01,2024-12-31,PENDING
RAW00054,CMP00052,0.8,3,2024-01-01,2024-12-31,PENDING
RAW00056,PRT00045,1.2,2,2024-01-01,2024-12-31,PENDING
MAT00058,MAT00059,0.8,2,2024-01-01,2024-12-31,PENDING
CMP00060,MAT00063,1.2,2,2024-01-01,2024-12-31,APPROVED
CMP00061,RAW00067,1.5,1,2024-01-01,2024-12-31,APPROVED
PRT00066,MAT00062,1.25,2,2024-01-01,2024-12-31,APPROVED
CMP00024,CMP00005,1.0,2,2024-01-01,2024-12-31,APPROVED
