incident_id,pool_id,start_time,end_time,severity,capacity_impact_pct
INC01,P01,2024-01-15 08:00:00,2024-01-15 14:30:00,S2,40
INC02,P03,2024-01-28 22:00:00,2024-01-29 06:00:00,S3,25
INC03,P05,2024-02-10 03:00:00,2024-02-10 11:00:00,S1,75
INC04,P07,2024-02-20 16:00:00,2024-02-21 02:00:00,S2,50
INC05,P02,2024-03-05 10:00:00,2024-03-05 18:00:00,S3,30
INC06,P09,2024-03-18 00:00:00,2024-03-18 12:00:00,S2,45
INC07,P04,2024-04-02 06:00:00,2024-04-02 20:00:00,S1,80
INC08,P11,2024-04-15 14:00:00,2024-04-16 02:00:00,S3,20
INC09,P06,2024-05-01 08:00:00,2024-05-01 20:00:00,S2,55
INC10,P08,2024-05-12 18:00:00,2024-05-13 06:00:00,S3,35
INC11,P10,2024-05-25 02:00:00,2024-05-25 14:00:00,S1,70
INC12,P12,2024-06-08 10:00:00,2024-06-08 22:00:00,S2,45
INC13,P01,2024-06-20 00:00:00,2024-06-20 16:00:00,S3,30
INC14,P03,2024-04-10 04:00:00,2024-04-10 10:00:00,S4,15
INC15,P07,2024-06-15 12:00:00,2024-06-15 18:00:00,S3,25
