region,month,cpu_multiplier,mem_multiplier,retry_surcharge_pct
ALPHA,2024-01,0.9925,1.018,12.96
ALPHA,2024-02,1.0259,0.9962,12.31
ALPHA,2024-03,1.0135,1.0346,13.7
ALPHA,2024-04,1.0725,1.0108,14.94
ALPHA,2024-05,1.0999,1.0285,13.86
ALPHA,2024-06,1.081,1.0422,15.05
BETA,2024-01,0.9459,0.9116,10.72
BETA,2024-02,0.9484,0.9217,10.73
BETA,2024-03,0.9874,0.9514,10.9
BETA,2024-04,1.0109,0.9537,11.09
BETA,2024-05,1.0365,0.9468,11.63
BETA,2024-06,1.0769,0.9886,13.62
GAMMA,2024-01,1.0383,1.0639,15.87
GAMMA,2024-02,1.0664,1.0749,15.99
GAMMA,2024-03,1.0621,1.1164,16.02
GAMMA,2024-04,1.1198,1.1025,17.04
GAMMA,2024-05,1.1328,1.1074,18.44
GAMMA,2024-06,1.1665,1.1476,18.79
DELTA,2024-01,0.9059,0.8969,7.68
DELTA,2024-02,0.9018,0.8718,8.65
DELTA,2024-03,0.9333,0.8909,10.16
DELTA,2024-04,0.9514,0.9012,10.09
DELTA,2024-05,0.9585,0.9321,9.65
DELTA,2024-06,1.0292,0.9409,10.4
