segment,month,health_class,entropy_gap,vci_excess,penalty_score,decay_factor,period_penalty,cumulative_penalty,credit_amount,net_penalty
ELECTRONICS,2024-02,TRANSITIONING,0.0,0.0,0.0,0.904,0.0,0.0,0.0,0.0
GROCERY,2024-03,STAGNANT,0.0,7.7495,38.75,0.915,35.46,35.46,3.88,31.58
GROCERY,2024-04,TRANSITIONING,0.0,0.0,0.0,0.8372,0.0,35.46,0.0,35.46
HOME_GOODS,2024-04,TRANSITIONING,0.0,0.4766,2.38,0.942,2.24,2.24,0.24,2.0
APPAREL,2024-05,TRANSITIONING,0.0,0.0,0.0,0.926,0.0,0.0,0.0,0.0
GROCERY,2024-05,TRANSITIONING,0.0,0.0,0.0,0.7661,0.0,35.46,0.0,35.46
HOME_GOODS,2024-05,TRANSITIONING,0.0,0.0,0.0,0.8874,0.0,2.24,0.0,2.24
APPAREL,2024-06,TRANSITIONING,0.0,0.0,0.0,0.8575,0.0,0.0,0.0,0.0
ELECTRONICS,2024-06,TRANSITIONING,0.0,0.0,0.0,0.904,0.0,0.0,0.0,0.0
HOME_GOODS,2024-06,TRANSITIONING,0.0,0.0,0.0,0.8359,0.0,2.24,0.0,2.24
