anomaly_type,identifier,date,symbol,details,severity
TIMING_VIOLATION,TRD5000,2024-02-13,GOOGL,exec_time=17:43:07 valid=09:30:00-16:00:00,LOW
POSITION_MISMATCH,AAPL_2024-02-20,2024-02-20,AAPL,computed=125 reported=-75 diff=200,LOW
UNMATCHED_TRADE,TRD5157,2024-02-23,META,signal_id=NONE qty=100,LOW
POSITION_MISMATCH,AAPL_2024-02-27,2024-02-27,AAPL,computed=1625 reported=1125 diff=500,LOW
PRICE_DEVIATION,TRD5012,2024-03-01,MSFT,exec=440.96 limit=391.31 dev=12.7%,HIGH
TIMING_VIOLATION,TRD5017,2024-03-14,MSFT,exec_time=9:24:15 valid=09:30:00-16:00:00,MEDIUM
UNMATCHED_TRADE,TRD5160,2024-03-14,AMZN,signal_id=NONE qty=200,LOW
DUPLICATE_TRADE,TRD5149,2024-03-18,AAPL,duplicate_of=TRD5164 qty=100,MEDIUM
TIMING_VIOLATION,TRD5018,2024-03-18,AMZN,exec_time=8:44:15 valid=09:30:00-16:00:00,MEDIUM
UNMATCHED_TRADE,TRD5164,2024-03-18,AAPL,signal_id=NONE qty=100,LOW
UNMATCHED_TRADE,TRD5149,2024-03-18,AAPL,signal_id=NONE qty=100,LOW
POSITION_MISMATCH,AAPL_2024-03-19,2024-03-19,AAPL,computed=675 reported=175 diff=500,LOW
DUPLICATE_TRADE,TRD5025,2024-03-27,MSFT,duplicate_of=TRD5165 qty=150,MEDIUM
PRICE_DEVIATION,TRD5165,2024-03-27,MSFT,exec=421.8 limit=386.13 dev=9.2%,LOW
PRICE_DEVIATION,TRD5025,2024-03-27,MSFT,exec=421.8 limit=386.13 dev=9.2%,LOW
SAME_DAY_REVERSAL,"TRD5177,TRD5176",2024-03-28,AMZN,qty=500 buy_and_sell_same_day,MEDIUM
UNMATCHED_TRADE,TRD5177,2024-03-28,AMZN,signal_id=REVERSAL qty=500,LOW
UNMATCHED_TRADE,TRD5176,2024-03-28,AMZN,signal_id=REVERSAL qty=500,LOW
DUPLICATE_TRADE,TRD5166,2024-04-04,AAPL,duplicate_of=TRD5027 qty=125,MEDIUM
POSITION_MISMATCH,META_2024-04-09,2024-04-09,META,computed=-625 reported=375 diff=1000,HIGH
UNMATCHED_TRADE,TRD5151,2024-04-12,MSFT,signal_id=NONE qty=200,LOW
UNMATCHED_TRADE,TRD5158,2024-04-15,GOOGL,signal_id=NONE qty=100,LOW
POSITION_MISMATCH,GOOGL_2024-04-16,2024-04-16,GOOGL,computed=-4650 reported=-4150 diff=500,LOW
SAME_DAY_REVERSAL,"TRD5180,TRD5181",2024-04-16,GOOGL,qty=500 buy_and_sell_same_day,MEDIUM
UNMATCHED_TRADE,TRD5180,2024-04-16,GOOGL,signal_id=REVERSAL qty=500,LOW
UNMATCHED_TRADE,TRD5181,2024-04-16,GOOGL,signal_id=REVERSAL qty=500,LOW
UNMATCHED_TRADE,TRD5148,2024-04-25,GOOGL,signal_id=NONE qty=500,LOW
PRICE_DEVIATION,TRD5041,2024-04-26,AAPL,exec=190.53 limit=167.66 dev=13.6%,HIGH
TIMING_VIOLATION,TRD5041,2024-04-26,AAPL,exec_time=18:59:37 valid=09:30:00-16:00:00,HIGH
PRICE_DEVIATION,TRD5046,2024-05-08,GOOGL,exec=178.37 limit=161.72 dev=10.3%,HIGH
TIMING_VIOLATION,TRD5049,2024-05-10,AMZN,exec_time=9:00:44 valid=09:30:00-16:00:00,MEDIUM
PRICE_DEVIATION,TRD5056,2024-05-22,META,exec=354.14 limit=328.88 dev=7.7%,LOW
TIMING_VIOLATION,TRD5057,2024-05-23,MSFT,exec_time=9:27:28 valid=09:30:00-16:00:00,MEDIUM
POSITION_MISMATCH,MSFT_2024-05-28,2024-05-28,MSFT,computed=-100 reported=100 diff=200,LOW
POSITION_MISMATCH,AMZN_2024-06-04,2024-06-04,AMZN,computed=1500 reported=2500 diff=1000,HIGH
TIMING_VIOLATION,TRD5068,2024-06-21,META,exec_time=18:43:41 valid=09:30:00-16:00:00,HIGH
UNMATCHED_TRADE,TRD5153,2024-06-24,GOOGL,signal_id=NONE qty=200,LOW
SAME_DAY_REVERSAL,"TRD5178,TRD5179",2024-06-27,MSFT,qty=500 buy_and_sell_same_day,MEDIUM
UNMATCHED_TRADE,TRD5178,2024-06-27,MSFT,signal_id=REVERSAL qty=500,LOW
UNMATCHED_TRADE,TRD5179,2024-06-27,MSFT,signal_id=REVERSAL qty=500,LOW
TIMING_VIOLATION,TRD5070,2024-06-28,MSFT,exec_time=9:06:18 valid=09:30:00-16:00:00,MEDIUM
UNMATCHED_TRADE,TRD5155,2024-07-09,META,signal_id=NONE qty=500,LOW
SAME_DAY_REVERSAL,"TRD5170,TRD5171",2024-07-12,AMZN,qty=500 buy_and_sell_same_day,MEDIUM
UNMATCHED_TRADE,TRD5170,2024-07-12,AMZN,signal_id=REVERSAL qty=500,LOW
UNMATCHED_TRADE,TRD5171,2024-07-12,AMZN,signal_id=REVERSAL qty=500,LOW
DUPLICATE_TRADE,TRD5163,2024-07-15,AAPL,duplicate_of=TRD5150 qty=100,MEDIUM
UNMATCHED_TRADE,TRD5150,2024-07-15,AAPL,signal_id=NONE qty=100,LOW
UNMATCHED_TRADE,TRD5163,2024-07-15,AAPL,signal_id=NONE qty=100,LOW
DUPLICATE_TRADE,TRD5168,2024-07-17,GOOGL,duplicate_of=TRD5073 qty=375,MEDIUM
UNMATCHED_TRADE,TRD5159,2024-07-17,GOOGL,signal_id=NONE qty=200,LOW
POSITION_MISMATCH,AMZN_2024-07-30,2024-07-30,AMZN,computed=-900 reported=-1400 diff=500,LOW
UNMATCHED_TRADE,TRD5152,2024-08-06,MSFT,signal_id=NONE qty=100,LOW
POSITION_MISMATCH,GOOGL_2024-08-13,2024-08-13,GOOGL,computed=-3975 reported=-3775 diff=200,LOW
SAME_DAY_REVERSAL,"TRD5172,TRD5173",2024-08-28,AAPL,qty=500 buy_and_sell_same_day,MEDIUM
TIMING_VIOLATION,TRD5092,2024-08-28,GOOGL,exec_time=18:50:53 valid=09:30:00-16:00:00,HIGH
UNMATCHED_TRADE,TRD5172,2024-08-28,AAPL,signal_id=REVERSAL qty=500,LOW
UNMATCHED_TRADE,TRD5173,2024-08-28,AAPL,signal_id=REVERSAL qty=500,LOW
UNMATCHED_TRADE,TRD5154,2024-09-02,AAPL,signal_id=NONE qty=100,LOW
PRICE_DEVIATION,TRD5098,2024-09-05,MSFT,exec=399.03 limit=357.87 dev=11.5%,HIGH
POSITION_MISMATCH,META_2024-09-10,2024-09-10,META,computed=-3200 reported=-3000 diff=200,LOW
PRICE_DEVIATION,TRD5104,2024-09-16,META,exec=437.82 limit=414.58 dev=5.6%,LOW
PRICE_DEVIATION,TRD5115,2024-10-01,META,exec=449.11 limit=419.7 dev=7.0%,LOW
TIMING_VIOLATION,TRD5116,2024-10-08,META,exec_time=17:01:14 valid=09:30:00-16:00:00,LOW
TIMING_VIOLATION,TRD5117,2024-10-10,MSFT,exec_time=8:54:47 valid=09:30:00-16:00:00,MEDIUM
UNMATCHED_TRADE,TRD5156,2024-10-15,AMZN,signal_id=NONE qty=200,LOW
PRICE_DEVIATION,TRD5120,2024-10-21,AMZN,exec=218.04 limit=195.33 dev=11.6%,HIGH
UNMATCHED_TRADE,TRD5147,2024-10-22,AAPL,signal_id=NONE qty=100,LOW
PRICE_DEVIATION,TRD5132,2024-11-07,MSFT,exec=443.1 limit=391.75 dev=13.1%,HIGH
SAME_DAY_REVERSAL,"TRD5174,TRD5175",2024-11-11,AMZN,qty=500 buy_and_sell_same_day,MEDIUM
UNMATCHED_TRADE,TRD5174,2024-11-11,AMZN,signal_id=REVERSAL qty=500,LOW
UNMATCHED_TRADE,TRD5175,2024-11-11,AMZN,signal_id=REVERSAL qty=500,LOW
POSITION_MISMATCH,AMZN_2024-11-12,2024-11-12,AMZN,computed=-3675 reported=-2675 diff=1000,HIGH
UNMATCHED_TRADE,TRD5161,2024-11-20,META,signal_id=NONE qty=100,LOW
DUPLICATE_TRADE,TRD5169,2024-11-25,GOOGL,duplicate_of=TRD5137 qty=500,MEDIUM
PRICE_DEVIATION,TRD5137,2024-11-25,GOOGL,exec=135.8 limit=127.54 dev=6.5%,LOW
PRICE_DEVIATION,TRD5169,2024-11-25,GOOGL,exec=135.8 limit=127.54 dev=6.5%,LOW
DUPLICATE_TRADE,TRD5145,2024-12-12,AMZN,duplicate_of=TRD5162 qty=500,MEDIUM
DUPLICATE_TRADE,TRD5167,2024-12-12,GOOGL,duplicate_of=TRD5144 qty=250,MEDIUM
TIMING_VIOLATION,TRD5162,2024-12-12,AMZN,exec_time=8:06:04 valid=09:30:00-16:00:00,MEDIUM
TIMING_VIOLATION,TRD5145,2024-12-12,AMZN,exec_time=8:06:04 valid=09:30:00-16:00:00,MEDIUM
